encoding,levels,bits_per_dim,total_bits,rel_bits_vs_binary,eer,tar_far_1e-2,tar_far_1e-3,recovery_vs_binary
thermo L=2,2,1,1024,0.125,0.2797494780793319,0.14335421016005567,0.05358385525400139,0.437640145364572
thermo L=4,4,3,3072,0.375,0.2776617954070981,0.13987473903966596,0.06263048016701461,0.4982216036495789
thermo L=8,8,7,7168,0.875,0.26994256541161454,0.17466945024356298,0.060542797494780795,0.7222222222222228
thermo L=9,9,8,8192,1.0,0.2755741127348643,0.15866388308977036,0.05775922059846903,0.5588030619345857
thermo L=16,16,15,15360,1.875,0.26994256541161454,0.1544885177453027,0.05775922059846903,0.7222222222222228
thermo L=32,32,31,31744,3.875,0.2700069589422408,0.1579679888656924,0.05915100904662491,0.7203536173612718
thermo L=64,64,63,64512,7.875,0.2693110647181628,0.1593597773138483,0.061934585942936674,0.7405474367896095
thermo L=128,128,127,130048,15.875,0.2693110647181628,0.1593597773138483,0.061934585942936674,0.7405474367896095
thermo L=256,256,255,261120,31.875,0.2700069589422408,0.15866388308977036,0.06263048016701461,0.7203536173612718
