encoding,levels,bits_per_dim,total_bits,rel_bits_vs_binary,eer,tar_far_1e-2,tar_far_1e-3,recovery_vs_binary
thermo L=2,2,1,512,0.125,0.06566666666666665,0.914,0.8906666666666667,0.9591836734693857
thermo L=4,4,3,1536,0.375,0.07066666666666666,0.9173333333333333,0.8943333333333333,0.6530612244897952
thermo L=8,8,7,3584,0.875,0.06966666666666665,0.9146666666666666,0.8923333333333333,0.7142857142857133
thermo L=9,9,8,4096,1.0,0.07033333333333336,0.9166666666666666,0.881,0.673469387755099
thermo L=16,16,15,7680,1.875,0.06999999999999995,0.9163333333333333,0.8843333333333333,0.6938775510204096
thermo L=32,32,31,15872,3.875,0.06933333333333336,0.9173333333333333,0.884,0.7346938775510171
thermo L=64,64,63,32256,7.875,0.06999999999999995,0.918,0.8843333333333333,0.6938775510204096
thermo L=128,128,127,65024,15.875,0.06966666666666665,0.918,0.8846666666666667,0.7142857142857133
thermo L=256,256,255,130560,31.875,0.06966666666666665,0.9183333333333333,0.885,0.7142857142857133
