encoding,levels,bits_per_dim,total_bits,rel_bits_vs_binary,eer,tar_far_1e-2,tar_far_1e-3,recovery_vs_binary
thermo L=2,2,1,1024,0.125,0.05568522840946982,0.8679559853284429,0.7065688562854284,0.7586206896551724
thermo L=4,4,3,3072,0.375,0.05601867289096363,0.8549516505501834,0.6535511837279093,0.7500000000000006
thermo L=8,8,7,7168,0.875,0.05235078359453149,0.8819606535511837,0.7162387462487496,0.8448275862068969
thermo L=9,9,8,8192,1.0,0.051683894631543846,0.8839613204401467,0.7209069689896632,0.8620689655172413
thermo L=16,16,15,15360,1.875,0.05101700566855616,0.8822940980326776,0.7322440813604535,0.8793103448275867
thermo L=32,32,31,31744,3.875,0.05135045015005002,0.8809603201067022,0.735245081693898,0.8706896551724136
thermo L=64,64,63,64512,7.875,0.05068356118706241,0.8796265421807269,0.7305768589529843,0.8879310344827571
thermo L=128,128,127,130048,15.875,0.05101700566855616,0.8799599866622208,0.7329109703234411,0.8793103448275867
thermo L=256,256,255,261120,31.875,0.05068356118706241,0.8799599866622208,0.7329109703234411,0.8879310344827571
