encoding,levels,bits_per_dim,total_bits,rel_bits_vs_binary,eer,tar_far_1e-2,tar_far_1e-3,recovery_vs_binary
thermo L=2,2,1,512,0.125,0.04533333333333334,0.9516666666666667,0.9483333333333334,0.16666666666664817
thermo L=4,4,3,1536,0.375,0.04200000000000004,0.952,0.9503333333333334,1.8333333333332964
thermo L=8,8,7,3584,0.875,0.04033333333333333,0.9516666666666667,0.9503333333333334,2.6666666666666483
thermo L=9,9,8,4096,1.0,0.04066666666666663,0.954,0.951,2.5
thermo L=16,16,15,7680,1.875,0.042,0.954,0.951,1.8333333333333137
thermo L=32,32,31,15872,3.875,0.042333333333333334,0.9553333333333334,0.951,1.666666666666648
thermo L=64,64,63,32256,7.875,0.042333333333333334,0.9546666666666667,0.951,1.666666666666648
thermo L=128,128,127,65024,15.875,0.042333333333333334,0.9546666666666667,0.9503333333333334,1.666666666666648
thermo L=256,256,255,130560,31.875,0.042333333333333334,0.9546666666666667,0.951,1.666666666666648
