encoding,levels,bits_per_dim,total_bits,rel_bits_vs_binary,eer,tar_far_1e-2,tar_far_1e-3,recovery_vs_binary
thermo L=2,2,1,1024,0.125,0.20006668889629875,0.3017672557519173,0.06402134044681561,0.7519379844961244
thermo L=4,4,3,3072,0.375,0.19939979993331114,0.3104368122707569,0.1097032344114705,0.7674418604651154
thermo L=8,8,7,7168,0.875,0.18839613204401462,0.34078026008669554,0.10836945648549516,1.0232558139534897
thermo L=9,9,8,8192,1.0,0.19073024341447153,0.3307769256418806,0.11137045681893964,0.9689922480620147
thermo L=16,16,15,15360,1.875,0.1887295765255085,0.32710903634544847,0.11637212404134711,1.0155038759689923
thermo L=32,32,31,31744,3.875,0.18972990996999,0.32910970323441147,0.11537179059686563,0.9922480620155039
thermo L=64,64,63,64512,7.875,0.18872957652550848,0.33111037012337446,0.1140380126708903,1.015503875968993
thermo L=128,128,127,130048,15.875,0.18906302100700234,0.3307769256418806,0.11437145715238413,1.0077519379844961
thermo L=256,256,255,261120,31.875,0.18906302100700234,0.33011003667889294,0.11470490163387796,1.0077519379844961
