encoding,levels,bits_per_dim,total_bits,rel_bits_vs_binary,eer,tar_far_1e-2,tar_far_1e-3,recovery_vs_binary
thermo L=2,2,1,512,0.125,0.07337883959044367,0.869283276450512,0.715358361774744,0.7642071905780888
thermo L=4,4,3,1536,0.375,0.061433447098976135,0.889419795221843,0.70580204778157,1.0428243954763492
thermo L=8,8,7,3584,0.875,0.060191518467852256,0.9017064846416383,0.763481228668942,1.0717914372988777
thermo L=9,9,8,4096,1.0,0.06075085324232077,0.9044368600682594,0.7064846416382252,1.0587453786133945
thermo L=16,16,15,7680,1.875,0.060191518467852256,0.9020477815699659,0.7221843003412969,1.0717914372988777
thermo L=32,32,31,15872,3.875,0.06006825938566551,0.9017064846416383,0.7081911262798635,1.0746663617504373
thermo L=64,64,63,32256,7.875,0.06075085324232077,0.9027303754266212,0.7061433447098976,1.0587453786133945
thermo L=128,128,127,65024,15.875,0.06075085324232077,0.9030716723549488,0.7071672354948806,1.0587453786133945
thermo L=256,256,255,130560,31.875,0.06075085324232077,0.9034129692832764,0.7037542662116041,1.0587453786133945
