dataset,backbone,float_cosine,hamming_binary,thermo_L9,pairs
lfw,faceres,0.046348782927642544,0.07969323107702568,0.051683894631543846,6000
lfw,arcface,0.043333333333333335,0.04466666666666663,0.04066666666666663,6000
calfw,faceres,0.18939646548849617,0.23241080360120037,0.19073024341447153,6000
calfw,arcface,0.06466666666666666,0.06799999999999995,0.07033333333333336,6000
cplfw,faceres,0.2603701340140396,0.2948308870453095,0.2755741127348643,6000
cplfw,arcface,0.06326949384404924,0.08020477815699656,0.06075085324232077,6000
